girl,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA I Am That Girl""","""Despite what our name implies, we invite and encourage people of all genders to come to our meetings. We provide a space for people to celebrate their own successes, share their stories without judgement, support one another, and discuss topics relevant to young adults. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/iamthatgirl
nami,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA NAMI""","""NAMI, the National Alliance on Mental Illness, is the nation's largest grassroots mental health organization dedicated to building better lives for the millions of Americans affected by mental illness. Our chapter works to educate, advocate, listen and lead to improve the lives of people with mental illness and their loved ones.""","""Application Link: """,https://www.usu.edu/involvement/clubs/nami
ostem,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA Out in Science, Technology, Engineering, and Math (oSTEM)""","""The mission of the USUSA oSTEM Club is to offer services and support for LGBTQIA+ students in science, technology, engineering, and mathematics (STEM). We are committed to advocacy, mentorship, and engagement among LGBTQIA+ students to create a dynamic network between students and professionals in industry and academia. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/ostemclub
scandi,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA Scandinavian Culture Club""","""The USUSA SCC is a group of students who are fascinated with the culture of Scandinavia. The club seeks to learn and explore the rich history and culture of Scandinavia by celebrating their holidays, trying their food, and anything else Scandinavian.""","""Application Link: """,https://www.usu.edu/involvement/clubs/scandinavianculture
tagalog,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA Tagalog Language Student Association (TSLA)""USUSA Scandinavian Culture Club""","""The Tagalog Language Student Association (TLSA) will meet periodically to study the Tagalog language and Filipino culture. The TLSA will also assist those trying to learn English as a second language. The TLSA will seek volunteer opportunities with the English Learning Center (ELS) and other similar organizations.""","""Application Link: """,https://www.usu.edu/involvement/clubs/tlsa
transfer,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""USUSA Transfer Student Club""","""The USUSA Transfer Student Club is an organization that helps students feel comfortable transitioning to Utah State through events and information sharing. We realize that transfer students have experience with going to other schools, and we will ensure they are in a community where they can ask questions and find resources in their new surroundings.""","""Application Link: """,https://www.usu.edu/involvement/clubs/transferstudentclub
