anthro,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""Anthropology Club""","""The USUSA Anthropology Club is dedicated to bringing people interested in anthropology together from all fields. We do monthly socials, archaeology experiments, and other fun events throughout the school year!""","""Application Link: """,https://www.usu.edu/involvement/clubs/anthropology
globcom,https://ibb.co/0sNjZQS,"""Global Communication Club""","""Our purpose as the USU Global Communication Club is to foster an environment of cultural awareness, encourage open discussion of phenomenon related to global communication, and pursue connected opportunities of academic enrichment and experience. In the spirit of interdisciplinary learning, we are a club open to all majors and all people. With this purpose in mind, we intend to continue to improve USU campus into a place where students are aware of and trying to understand other people. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/globalcommunication
colstud,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Intercollegiate_Studies_Institute_logo_2021.svg/1200px-Intercollegiate_Studies_Institute_logo_2021.svg.png,"""Intercollegiate Studies Institute""","""Intercollegiate Studies Institute is a national organization that gives university students an environment in which they could discuss the most meaningful questions in the fields of politics, philosophy, and economics. We read one book published by ISI throughout every semester to discuss over a bi-weekly dinner. Students will have the opportunity to attend national conferences paid for by ISI, become involved in campus speaker events, and receive the traditional liberal education lacking at modern universities. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/intercollegiatestudiesinstitute
natstud,https://scontent-den4-1.xx.fbcdn.net/v/t31.18172-8/21015971_1773774339319541_7423997561728061590_o.png?_nc_cat=111&ccb=1-5&_nc_sid=85a577&_nc_ohc=8fSwIze8rSUAX8_XcRr&_nc_ht=scontent-den4-1.xx&oh=f3bcf34056e7287bc76457c1beca455d&oe=61D5A057,"""International Studies Club""","""Through weekly discussions about foreign affairs the ISC is meant to give students the opportunity to debate and analyze foreign affairs. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/internationalstudiesclub
mun,http://formun.fccsocieties.org/wp-content/uploads/2015/04/Model-UN-Harvard-BestDelegateDotCom.jpg,"""Model United Nations""","""Model United Nations is an extra-curricular activity in which students will act as a delegate for a certain country. Delegates will debate on international policies and how they will affect the countries that they represent. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/modelunitednations
prssa,https://ak.picdn.net/shutterstock/videos/1041654343/thumb/5.jpg,"""Public Relations Student Society of America (PRSSA)""","""PRSSA is a chartered chapter of the national Public Relations Student Society of America. We meet monthly to discuss recent news and developments in the public relations profession, including career planning & preparation, skill building, and networking. We are a club for any student who wants to be able to learn more about corporate communications, grow their network, sell their ideas, or add to their professional skills and portfolios.""","""Application Link: """,https://www.usu.edu/involvement/clubs/prssa
states,https://i.ibb.co/2vhVDVJ/states.png,"""Utah Statesman""",""" Weekly student news. Gives students an opportunity to write on a variety of topics.""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSea_u0ACnO9fcVxBlN19upb2QVO2Qmg2YLPl9SibU6p2q-CgA/viewform
