"""globcom""",https://ibb.co/0sNjZQS,"""Global Communication Club""","""Our purpose as the USU Global Communication Club is to foster an environment of cultural awareness, encourage open discussion of phenomenon related to global communication, and pursue connected opportunities of academic enrichment and experience. In the spirit of interdisciplinary learning, we are a club open to all majors and all people. With this purpose in mind, we intend to continue to improve USU campus into a place where students are aware of and trying to understand other people. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/globalcommunication
"""natstud""",https://www.fairfield.edu/files/images/undergraduate/academics/schools-and-colleges/college-of-arts-and-sciences/programs/international-studies/model-un/15204_ug_aca_sc_cas_prog_intern-studies_model-un_banner-image_06052019.jpg,"""International Studies Club""","""Through weekly discussions about foreign affairs the ISC is meant to give students the opportunity to debate and analyze foreign affairs. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/internationalstudiesclub
"""scandi""","https://www.thoughtco.com/thmb/arCOrvDsH5CPuxhP9BAUdoWI0pg=/7360x4912/filters:fill(auto,1)/aurora-borealis-614127332-5aa19027119fa80037cb4126.jpg","""USUSA Scandinavian Culture Club""","""The USUSA SCC is a group of students who are fascinated with the culture of Scandinavia. The club seeks to learn and explore the rich history and culture of Scandinavia by celebrating their holidays, trying their food, and anything else Scandinavian.""","""Application Link: """,https://www.usu.edu/involvement/clubs/scandinavianculture
"""tagalog""",https://i.ytimg.com/vi/W4iQHCUsWwc/maxresdefault.jpg,"""USUSA Tagalog Language Student Association (TSLA)""USUSA Scandinavian Culture Club""","""The Tagalog Language Student Association (TLSA) will meet periodically to study the Tagalog language and Filipino culture. The TLSA will also assist those trying to learn English as a second language. The TLSA will seek volunteer opportunities with the English Learning Center (ELS) and other similar organizations.""","""Application Link: """,https://www.usu.edu/involvement/clubs/tlsa
"""russia""",https://gozend.com/wp-content/uploads/2019/07/russia-monument.jpg,"""USUSA Russian Club""","""The USUSA Russian Club comes together with fellow peers to learn more about and celebrate Russian history, language, and culture. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/russianclub
"""irish""",https://www.thetemper.com/wp-content/uploads/2020/03/twenty20_05b83929-8da6-444c-8d12-127e7cddc3cf-1200x801.jpg,"""Aos Si Irish Dance""","""This club is all about exploring the world of Irish Dance. Members will get to meet weekly to choreograph dances, practice steps, and just have fun dancing. We will have two performances as well as some Irish Folk Dance workshops throughout the semester.""","""Application Link: """,https://www.usu.edu/involvement/clubs/aossiirshdance
