"""anthro""",https://anthropology.catholic.edu/_media/2017-photos-anthropology/anthropology-homedsc_5599-1600.jpg,"""Anthropology Club""","""The USUSA Anthropology Club is dedicated to bringing people interested in anthropology together from all fields. We do monthly socials, archaeology experiments, and other fun events throughout the school year!""","""Application Link: """,https://www.usu.edu/involvement/clubs/anthropology
"""colstud""",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Intercollegiate_Studies_Institute_logo_2021.svg/1200px-Intercollegiate_Studies_Institute_logo_2021.svg.png,"""Intercollegiate Studies Institute""","""Intercollegiate Studies Institute is a national organization that gives university students an environment in which they could discuss the most meaningful questions in the fields of politics, philosophy, and economics. We read one book published by ISI throughout every semester to discuss over a bi-weekly dinner. Students will have the opportunity to attend national conferences paid for by ISI, become involved in campus speaker events, and receive the traditional liberal education lacking at modern universities. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/intercollegiatestudiesinstitute
"""mun""",http://formun.fccsocieties.org/wp-content/uploads/2015/04/Model-UN-Harvard-BestDelegateDotCom.jpg,"""Model United Nations""","""Model United Nations is an extra-curricular activity in which students will act as a delegate for a certain country. Delegates will debate on international policies and how they will affect the countries that they represent. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/modelunitednations
"""prssa""",https://scontent.fslc3-1.fna.fbcdn.net/v/t31.18172-8/27624604_186802758586113_6263827435509927517_o.jpg?stp=dst-jpg_p320x320&_nc_cat=101&ccb=1-5&_nc_sid=e3f864&_nc_ohc=hlbqLxED47MAX_rYO5S&_nc_ht=scontent.fslc3-1.fna&oh=00_AT9Qo5p9ZXBnizTalDi7LHpDihuJT95FPxqHNnvfhZNG6w&oe=6259DD99,"""Public Relations Student Society of America (PRSSA)""","""PRSSA is a chartered chapter of the national Public Relations Student Society of America. We meet monthly to discuss recent news and developments in the public relations profession, including career planning & preparation, skill building, and networking. We are a club for any student who wants to be able to learn more about corporate communications, grow their network, sell their ideas, or add to their professional skills and portfolios.""","""Application Link: """,https://www.usu.edu/involvement/clubs/prssa
"""phil""",https://blog.internationalstudent.com/wp-content/uploads/2013/01/philosophy140473377.jpg,"""USUSA Philosophy Club""","""USUSA Philosophy Club gathers students to discuss topics on and study philosophy.""","""Application Link: """,https://www.usu.edu/involvement/clubs/philosophy
"""nsslha""",https://www.missouristate.edu/Assets/csd/9_1_StudentGroups_nsslha_700x394.jpg,"""National Student Speech Language Hearing Association""","""The National Student Speech Language Hearing Association (NSSLHA) is the only national student organization for pre-professionals studying communication sciences and disorders (CSD) recognized by the American Speech-Language-Hearing Association (ASHA). This club will allow students to become more involved in their field including volunteer opportunities, meeting with professionals in the field, getting involved and connecting with other students in their major, and preparing for grad school.""","""Application Link: """,https://www.usu.edu/involvement/clubs/nationalstudentspeechlanghearing
