girl,https://images.pexels.com/photos/7148674/pexels-photo-7148674.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"""USUSA I Am That Girl""","""Despite what our name implies, we invite and encourage people of all genders to come to our meetings. We provide a space for people to celebrate their own successes, share their stories without judgement, support one another, and discuss topics relevant to young adults. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/iamthatgirl
ostem,https://clubrunner.blob.core.windows.net/00000305556/Images/oSTEM-Logo-Registered.png,"""USUSA Out in Science, Technology, Engineering, and Math (oSTEM)""","""The mission of the USUSA oSTEM Club is to offer services and support for LGBTQIA+ students in science, technology, engineering, and mathematics (STEM). We are committed to advocacy, mentorship, and engagement among LGBTQIA+ students to create a dynamic network between students and professionals in industry and academia. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/ostemclub
transfer,https://i.ibb.co/2q4KJtD/transfer.png,"""USUSA Transfer Student Club""","""The USUSA Transfer Student Club is an organization that helps students feel comfortable transitioning to Utah State through events and information sharing. We realize that transfer students have experience with going to other schools, and we will ensure they are in a community where they can ask questions and find resources in their new surroundings.""","""Application Link: """,https://www.usu.edu/involvement/clubs/transferstudentclub
story,https://images.pexels.com/photos/6918516/pexels-photo-6918516.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,"""USUSA Their Story is Our Story""","""We share stories of the refugee journey to advocate and educate, and to actuate integration. We transform the perception and reception of refugees worldwide one story at a time. Ultimately, we envision a world where there is no ""them,"" only us.""","""Application Link: """,https://www.usu.edu/involvement/clubs/theirstoryisourstory
women,https://www.neefusa.org/sites/default/files/styles/article_hero/public/field/image/WEB16-WomenInScience-GreeningSTEM-FemaleScientists-5616x3159.jpg?itok=8Ya-QCHV,"""USUSA Women in Science Club""","""The purpose of USUSA Women in Science creates a community on campus that supports the advancement of women in scientific fields""","""Application Link: """,https://www.usu.edu/involvement/clubs/womeninscience
